CustomerID,Name,Email,Contact_Number
1,"Kris Lork",xlr@ya.com,5552314589
2,"Tom Knox",barstop@ya.com,5556893478
3,"Lisa Bark",gop@ya.com,5554341290
4,"Sam Noas",morefilm@fakeemail.com,5554908769
5,"Pam LaSalle",rest@fakeemail.com,5554987539
6,"Rick Marks",ton@yasfake.com,5557002467
7,"Tony Riches",ton@ya.com,5557084625
8,"Riley Ricks",torts@yakake.com,5558883424
9,"Winston Winds",ulx@fakeemail.com,5556671252
10,"Ashley Smass",mao@fakeemail.com,5556682534
11,"Al Lopez",pope@yafakeemail.com,5553426757
12,"Jason Johns",mute@yafakeemail.com,5556611121
13,"Courtney Lopez",mikenmike@fakeemail.com,5556748698
14,"Christine Nerds",mnk@fakeemail.com,5552347895
15,"Harry Lopez",nin@fakeemail.com,5552329000
16,"Parris Hikes",hikes@ya.com,5557773667
17,"Josh Smalls",kilh@fakeemail.com,5558873977
18,"Jeremy Hoff",hoff@fakeemail.com,5558772000
